id	user_id	date	created_at	is_retweet	is_quote	likes	retweets	hashtags	mentions	text
1250015806739668993	466781777	14/04/2020	2020-04-14 10:59:27	1	0	0	5	-	przedwiosnie_	RT @przedwiosnie_: „Błoto słodsze niż miód” to opowieść o ludziach z dnia na dzień skazywanych na zesłanie, tylko dlatego że urodzili się w…
1250012138720178176	466781777	14/04/2020	2020-04-14 10:44:52	1	0	0	6	Wielkanoc	funwisher, RobertBiedron, SimonsCat	RT @funwisher: Nie chcieliśmy przeszkadzać w #Wielkanoc @RobertBiedron 🎂 Legendarny @SimonsCat ma coś urodzinowego dla szanownego kandydata…
1249967381973282817	466781777	14/04/2020	2020-04-14 07:47:01	0	0	190	28	Koronawirus, Polska2020	se_pl	"💬 Jeśli mam do wyboru, czy wydać pieniądze na stadiony, F-35, kolejne świątynie, czy na mieszkania komunalne, na pensje dla pielęgniarek i położnych czy nauczycieli, czy na tablety i internet dla dzieci, to za zawsze wybiorę to drugie. – na @se_pl
#Koronawirus #Polska2020"
1249966328095670273	466781777	14/04/2020	2020-04-14 07:42:50	0	0	109	18	Koronawirus, Polska2020	se_pl	"💬 Wiele dzieci w Polsce nie ma dostępu do internetu bezprzewodowego, tabletu czy komputera. Milion osób w Polsce nie ma dostępu do własnej łazienki – takie są polskie realia. To trzeba zmienić już dzisiaj. – na @se_pl
#Koronawirus #Polska2020"
1249965113681027073	466781777	14/04/2020	2020-04-14 07:38:00	0	0	140	23	Koronawirus, Polska2020	__Lewica, se_pl	"💬 Morawiecki przekazał 70 mld zł na ratowanie banków. To nie dziwne, bo Morawiecki jest bankierem. Powinniśmy przeznaczyć te pieniądze na ratowanie ludzi, @__Lewica ma na to konkretny plan. – na @se_pl
#Koronawirus #Polska2020"
1249964556232863745	466781777	14/04/2020	2020-04-14 07:35:48	0	0	83	12	Koronawirus, Polska2020	se_pl	"💬 Urzędy wojewódzkie donoszą o kolejnych bezrobotnych, kolejne firmy upadają. To są realne problemy, o których Jarosław Kaczyński i jego marionetka Andrzej Duda nie mają pojęcia. Władza powinna być dla ludzi, a nie dla samej siebie. – na @se_pl
#Koronawirus #Polska2020"
1249963690058809345	466781777	14/04/2020	2020-04-14 07:32:21	0	0	199	15	Koronawirus, Polska2020	se_pl	"💬 Jarosław Kaczyński jest nieodpowiedzialny i odrealniony – i jego wyjście z domu w iście bizantyjskim orszaku jest tego najlepszym przykładem. Go interesuje jedynie przedłużenie władzy, a nie dobro Polek i Polaków. – na @se_pl
#Koronawirus #Polska2020"
1249962311193944065	466781777	14/04/2020	2020-04-14 07:26:52	0	0	270	27	FalaSprzeciwu, Koronawirus, Polska2020	se_pl	"💬 Dzisiaj piekło trwa nadal. Apeluję do wszystkich mężczyzn, żebyśmy stali razem z kobietami. – na @se_pl
#FalaSprzeciwu #Koronawirus #Polska2020"
1249961474644234241	466781777	14/04/2020	2020-04-14 07:23:33	0	0	111	16	Koronawirus, Polska2020	se_pl	"💬 Te wybory nie będą uczciwe – gramy na zasadach wyznaczonych przez Kaczyńskiego. Ale póki jeszcze można walczyć to trzeba pokazywać swoją niezgodę. Trzeba korzystać z każdego narzędzia, które mamy. Kaczyński liczy na to, że się poddamy. – na @se_pl
#Koronawirus #Polska2020"
1249961140588863489	466781777	14/04/2020	2020-04-14 07:22:13	0	0	50	5	Koronawirus, Polska2020	se_pl	"💬 Trzeba być z ludźmi i pokazywać im, jak ratować miejsca pracy i małe firmy, wspierać ochronę zdrowia i samorządy. Andrzej Duda nie ma na to żadnego pomysłu. Ja mam. – na @se_pl
#Koronawirus #Polska2020"
1249960465683419138	466781777	14/04/2020	2020-04-14 07:19:32	0	0	74	7	Koronawirus, Polska2020	se_pl	"💬 Trzeba rozmawiać też o innych kwestiach niż wybory, bo to nie wybory zaprzątają głowy Polek i Polaków. To powód, dla którego powinniśmy być w tym wyścigu – żeby ta ""kampania"" dotyczyła realnych problemów, a nie wygłupów na TikToku. – na @se_pl
#Koronawirus #Polska2020"
1249959636830126080	466781777	14/04/2020	2020-04-14 07:16:15	0	0	312	22	Koronawirus, Polska2020	se_pl	"💬 Startuję w wyborach, bo nie można oddawać pola walki Kaczyńskiemu i Dudzie, nie można mu oddawać tych wyborów walkowerem. Oni liczą na to, że opozycja się podda. Niska frekwencja działa na korzyść Dudy. Opozycja musi trwać na polu walki. – na @se_pl
#Koronawirus #Polska2020"
1249808514446393344	466781777	13/04/2020	2020-04-13 21:15:44	0	0	12	0	-	poselTTrela, __Lewica, wiosnabiedronia, partiarazem, przedwiosnie_, FMS_kraj, Mlodzi_Razem	@poselTTrela @__Lewica @wiosnabiedronia @partiarazem @przedwiosnie_ @FMS_kraj @Mlodzi_Razem Dzięki, Szefie!✌️
1249807507645702144	466781777	13/04/2020	2020-04-13 21:11:44	0	0	41	0	-	Palikot_Janusz	@Palikot_Janusz Dzięki!✌️
1249789488181673986	466781777	13/04/2020	2020-04-13 20:00:08	0	0	130	14	-	-	Mam nadzieję, że odpoczęliście w święta, bo we wtorek rano widzimy się znów❗️✌️ https://t.co/HX8RS52lP4
