id	user_id	date	created_at	is_retweet	is_quote	likes	retweets	hashtags	mentions	text
1249730541311668224	80676829	13/04/2020	2020-04-13 16:05:54	1	0	0	26	-	KrystianKamin	"RT @KrystianKamin: Dziś czyli 13 kwietnia obchodzimy Dzień Pamięci Ofiar Zbrodni Katyńskiej.
Na mocy decyzji najwyższych władz ZSRR zawarte…"
1249650164773662721	80676829	13/04/2020	2020-04-13 10:46:31	0	0	1	0	-	MaciejBk1	@MaciejBk1 Tak. UNICEF nie podał właśnie żadnego takiego źródła i stąd mój wpis
1249623991742062592	80676829	13/04/2020	2020-04-13 09:02:31	0	0	4	0	-	TomaszFot, kotczarny	@TomaszFot @kotczarny Odblokowany. Proszę tylko bez chamstwa i pomówień. Pozdrawiam!
1249471153112055808	80676829	12/04/2020	2020-04-12 22:55:11	0	0	6	0	-	Piotr_Blaszczyk	@Piotr_Blaszczyk Dzięki, pozdrawiam!
1249467229168599041	80676829	12/04/2020	2020-04-12 22:39:36	1	0	0	61	-	WitoldTomczak	RT @WitoldTomczak: Ograniczenie do 5 osób w kościele to bardzo zła i gorsząca decyzja! Skutkuje takimi absurdami jak wypraszanie 6. osoby,…
1249466830428700672	80676829	12/04/2020	2020-04-12 22:38:01	0	1	448	83	-	-	Boją się https://t.co/spVSDQvO36
1249465900136267776	80676829	12/04/2020	2020-04-12 22:34:19	1	0	0	7	-	semperfidelispl, StefanTompson	RT @semperfidelispl: Kolejny wartościowy, skłaniający do refleksji krótki materiał od @StefanTompson polecam. https://t.co/Rplio0SOAA
1249453087988813824	80676829	12/04/2020	2020-04-12 21:43:24	1	0	0	523	koronawirus	APuscikowska	RT @APuscikowska: Do dominikanek w Bochni, które zgłosiły sie na ochotnika do tamtejszego DPS, w którym szaleje #koronawirus, dołączył młod…
1249452607992627206	80676829	12/04/2020	2020-04-12 21:41:30	1	0	0	63	-	MrT	"RT @MrT: John 20:29

“Jesus saith unto him, Thomas, because thou hast seen me, thou hast believed: blessed are they that have not seen, and…"
1249349342747557888	80676829	12/04/2020	2020-04-12 14:51:09	0	0	1	0	-	Korabita	@Korabita Dzięki!
1249345274046230528	80676829	12/04/2020	2020-04-12 14:34:59	1	0	0	2	-	MateuszMarzoch	RT @MateuszMarzoch: We wczorajszej Liturgii Męki Pańskiej oraz dzisiejszej mszy Wigilii Paschalnej uczestniczyłem za pośrednictwem internet…
1249345264172793860	80676829	12/04/2020	2020-04-12 14:34:57	1	0	0	2	-	MateuszMarzoch	RT @MateuszMarzoch: Dla nas Katolików tegoroczne święta są trudne - powinniśmy razem z innymi, z rodziną być w kościele, przeżywać Mękę Pań…
