id	user_id	date	created_at	is_retweet	is_quote	likes	retweets	hashtags	mentions	text
1249325247007948800	955239446	12/04/2020	2020-04-12 13:15:24	0	0	1178	47	-	-	🙋🏻‍♂️🙋🏼‍♀️👶🏼 https://t.co/oTFYpZVO1i
1249037101796151297	955239446	11/04/2020	2020-04-11 18:10:25	0	0	189	41	-	-	"To święta Wielkiej Nocy inne niż znamy, w wielu domach niestety bez bliskich. Pamiętajmy, że wkrótce się spotkamy, nadrobimy. Dziś najważniejsze jest zdrowie. I tego Wam życzę: bądźcie zdrowi! Wygramy tę walkę i znów będzie normalnie.

https://t.co/898aaxQYRD"
1248580794018299904	955239446	10/04/2020	2020-04-10 11:57:13	0	0	187	46	KatastrofaSmoleńska, 10kwietnia, pamiętamy	-	To już 10 lat. Oddając hołd Ofiarom #KatastrofaSmoleńska, pamiętajmy, że musimy zrobić wszystko, by ta tragedia przestała nas dzielić. Zacznijmy sklejać naszą narodową wspólnotę. Jesteśmy to winni Im, jesteśmy to winni sobie. Nigdy nie jest za późno! #10kwietnia #pamiętamy https://t.co/rhCr9ePOW8
