profile	date	followers	following	tweets
466781777	04/04/2020	218706	1900	17149
80676829	05/04/2020	169396	2491	98730
955239446	05/04/2020	102780	1256	7836
2280346687	05/04/2020	97363	522	3721
1193947151971311618	05/04/2020	29272	203	772
202086424	05/04/2020	1109957	767	7666
466781777	05/04/2020	219094	1901	17152
80676829	06/04/2020	169610	2491	98753
955239446	06/04/2020	103061	1256	7836
2280346687	06/04/2020	97744	522	3721
1193947151971311618	06/04/2020	29550	203	775
202086424	06/04/2020	1110507	767	7666
466781777	06/04/2020	219289	1901	17153
80676829	07/04/2020	170107	2491	98827
955239446	07/04/2020	103481	1256	7851
2280346687	07/04/2020	98270	522	3725
1193947151971311618	07/04/2020	29956	203	782
202086424	07/04/2020	1111294	767	7670
466781777	07/04/2020	219612	1901	17183
80676829	08/04/2020	170563	2491	98870
955239446	08/04/2020	103874	1256	7862
2280346687	08/04/2020	98732	522	3726
1193947151971311618	08/04/2020	30556	203	796
202086424	08/04/2020	1111963	766	7671
466781777	08/04/2020	219927	1900	17196
80676829	09/04/2020	170832	2491	98894
955239446	09/04/2020	104209	1257	7871
2280346687	09/04/2020	99164	522	3728
1193947151971311618	09/04/2020	31048	203	806
202086424	09/04/2020	1112640	766	7671
466781777	09/04/2020	220136	1900	17243
80676829	10/04/2020	171072	2489	98943
955239446	10/04/2020	104517	1257	7871
2280346687	10/04/2020	99493	521	3731
1193947151971311618	10/04/2020	31406	203	815
202086424	10/04/2020	1113319	765	7671
466781777	10/04/2020	220400	1900	17267
80676829	11/04/2020	171279	2489	98950
955239446	11/04/2020	104819	1257	7872
2280346687	11/04/2020	99892	520	3733
1193947151971311618	11/04/2020	31701	204	819
202086424	11/04/2020	1113981	765	7672
466781777	11/04/2020	220677	1902	17279
80676829	12/04/2020	171474	2489	98940
955239446	12/04/2020	105143	1257	7873
2280346687	12/04/2020	100225	520	3735
1193947151971311618	12/04/2020	32036	204	820
202086424	12/04/2020	1114511	765	7673
466781777	12/04/2020	220966	1902	17282
80676829	13/04/2020	171659	2490	98952
955239446	13/04/2020	105444	1257	7874
2280346687	13/04/2020	100545	520	3736
1193947151971311618	13/04/2020	32307	204	823
202086424	13/04/2020	1115157	765	7674
466781777	13/04/2020	221223	1902	17283
80676829	14/04/2020	171835	2491	98958
955239446	14/04/2020	105807	1258	7874
2280346687	14/04/2020	100916	520	3737
1193947151971311618	14/04/2020	32629	204	830
202086424	14/04/2020	1115799	765	7675
466781777	14/04/2020	221510	1902	17289
